Timestamp,Event title,Location,URL,Description,Timezone,Start Date&Time,End Date&Time,TAGS
02/02/2022 11:35:25,International Data Week 2023,"Salzburg, Austria",https://www.rd-alliance.org/plenaries/international-data-week-2023-salzburg,"The International Science Council’s Committee on Data (CODATA) and World Data System (WDS), and the Research Data Alliance (RDA) are delighted to announce International Data Week 2023: A Festival of Data, taking place on 23–26 October 2023, in Salzburg, Austria.","(UTC+00:00) Dublin, Edinburgh, Lisbon, London",23/10/2023 09:00:00,26/10/2023 17:00:00,
21/11/2022 18:40:50,Open Science FAIR,"Madrid, Spain",https://www.opensciencefair.eu/,"4th Open Science FAIR Conference, an international event for all topics related to Open Science","(UTC+00:00) Dublin, Edinburgh, Lisbon, London",25/09/2023 08:00:00,27/09/2023 18:00:00,
22/02/2023 17:28:20,"Global Summit on Diamond Open Access: Equity, quality, usability, and sustainability","Mexico (Toluca), online",http://amelica.org/index.php/en/2023/02/14/global-summit-on-diamond-open-access-equity-quality-usability-and-sustainability/,"The purpose of the Global Summit on Diamond Open Access is to bring together the Diamond OA community of journal editors, organizations, experts, and stakeholders from the Global South and North, in a dialogue that seeks to implement collective action in the spirit of the Recommendations on Open Science from UNESCO and BOAI 20 years, where Equity, Sustainability, Quality and Usability are the pillars of our journey. (http://amelica.org/index.php/en/2023/02/14/global-summit-on-diamond-open-access-equity-quality-usability-and-sustainability/)","(UTC+00:00) Dublin, Edinburgh, Lisbon, London",23/10/2023 13:00:00,27/10/2023 20:00:00,
11/04/2023 13:04:40,Munin Conference on Scholarly Publishing,Norway (Tromsø) and online,https://site.uit.no/muninconf/call-for-submissions/, (https://site.uit.no/muninconf/call-for-submissions/),"(UTC+00:00) Dublin, Edinburgh, Lisbon, London",08/11/2023 09:00:00,10/11/2023 17:00:00,
21/04/2023 13:09:43,PREPARE for Better Science Course,Online,https://attendee.gotowebinar.com/register/400390887453106261?source=OpenResCal,"Join Dr Nikki Osborne & Prof Adrian Smith for this live and interactive course. It involves: three live webinar sessions scheduled as follows:

9:30am -1pm (BST) Monday 29th January - Session 1. Formulating your study to set it up for success;
9:30am -1pm (BST) Tuesday 30th January - Session 2. Communication between researchers and the animal facility;
9:30am -1pm (BST) Wednesday 31st January - Session 3. Important methological details.

Plus two short homework activities following sessions 1 & 2.

During this course you will learn how the PREPARE guidelines can help you improve your research practices when planning and conducting animal studies. (https://attendee.gotowebinar.com/register/400390887453106261?source=OpenResCal)","(UTC+00:00) Dublin, Edinburgh, Lisbon, London",29/01/2024 09:30:00,31/01/2024 13:00:00,
25/06/2023 08:01:16,Launch symposium Dutch Reproducibility Network,The Netherlands (Amsterdam),http://reproducibilitynetwork.nl/,"We are delighted to invite you to the launch symposium of the Dutch Reproducibility Network (NLRN) taking place on October 27th, 2023, in Amsterdam. 

The central mission of the NLRN is to foster reproducible and transparent research across scholarly disciplines. With this symposium, we want to facilitate the discussion of challenges and opportunities of research reproducibility and encourage new collaborations around this important topic.

The one-day event will bring together stakeholders from different parts of the research ecosystem — including peer-led grassroots initiatives, research institutions, research support services, and external stakeholders — to build connections, identify needs and resources, showcase existing efforts, and start shaping the reproducibility agenda.

Event details:
What: Dutch Reproducibility Network Launch Symposium
When: 27 October 2023, 9:00 AM - 5:00 PM
Where: University of Amsterdam, Roeterseiland Campus (http://reproducibilitynetwork.nl/)","(UTC+00:00) Dublin, Edinburgh, Lisbon, London",27/10/2023 09:00:00,27/10/2023 17:00:00,
26/06/2023 21:04:33,Big Team Science Conference,Online,https://bigteamscienceconference.github.io/, (https://bigteamscienceconference.github.io/),"(UTC+00:00) Dublin, Edinburgh, Lisbon, London",23/10/2023 10:00:00,25/10/2023 21:00:00,
27/06/2023 20:16:35,Annual NRIN symposium,The Netherlands (and online?),https://www.nrin.nl/calendar, (https://www.nrin.nl/calendar),"(UTC+00:00) Dublin, Edinburgh, Lisbon, London",14/12/2023 09:00:00,14/12/2023 17:00:00,
05/07/2023 10:43:08,FREE Responsible Research Webinar,Online,https://attendee.gotowebinar.com/register/7349114161651442014?source=OpenResCal,"Join Prof Tiaan Brink, Dr Dave Lewis and Dr Nikki Osborne for this FREE webinar ""Introducing the 12Rs framework for humane & ethical animal research"".

During this session Tiaan (North-West University) will give an overview of the 12R's framework & discuss what it means in practice from a global south perspective. Dave (University of Leeds) will share his knowledge & experience to provide a global north perspective on the 12Rs framework before jointly answering any question you may have.

Attend this webinar to learn about:
- the challenges of conducting ethical & humane animal research globally;
- the 12Rs framework for animal research ethical integrity;
- key considerations from a global north & global south perspective;
- suggestions on when & how to utilise the 12Rs framework;
- further information and useful resources. (https://attendee.gotowebinar.com/register/7349114161651442014?source=OpenResCal)","(UTC+00:00) Dublin, Edinburgh, Lisbon, London",18/10/2023 10:00:00,18/10/2023 11:00:00,
05/07/2023 10:48:49,"Responsible Animal Research: Critical, Challenging & Creative Thinking COurse",Online,https://attendee.gotowebinar.com/register/5497243010739484251?source=OpenResCal,"This course involves: four 2.5 hour webinar sessions plus four activities scheduled as follows:

13:00 - 16:00 (BST) Monday 2nd October - Session 1. An introduction to animal use in research and the 3Rs;
13:00 - 16:00 (BST) Tuesday 3rd October - Session 2. An introduction to research integrity within the context of laboratory animal science;
13:00 - 16:00 (BST) Wednesday 4th October - Session 3. An introduction to good practice experimental design and planning for animal research derived data;
13:00 - 16:00 (BST) Thursday 5th October - Session 4. An introduction to animal welfare and putting the 3Rs into practice. (https://attendee.gotowebinar.com/register/5497243010739484251?source=OpenResCal)","(UTC+00:00) Dublin, Edinburgh, Lisbon, London",02/10/2023 13:00:00,05/10/2023 16:00:00,
